[2026-06-28 14:58:43] [24905.3582] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:00:50] [25031.7658] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:01:55] [25097.2319] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:03:00] [25162.5899] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:04:06] [25227.9592] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:06:01] [25343.3176] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 502 Bad Gateway","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:07:07] [25408.6506] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:09:16] [25538.1810] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:11:17] [25658.7058] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 502 Bad Gateway","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:12:22] [25724.2046] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:14:31] [25852.7406] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:15:36] [25918.1600] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:17:46] [26048.5095] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:18:52] [26113.8615] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:19:57] [26179.3319] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:22:03] [26304.7099] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:24:13] [26435.0089] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:26:18] [26560.4318] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:28:24] [26685.8008] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:30:34] [26816.1119] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
